STATENAME,URL,WEBSITE,lev,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,6,Level 2,Minimal,Jan-15-2022,2,2021-22
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,4,Level 8,High,Jan-15-2022,2,2021-22
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,2,Level 10,High,Jan-15-2022,2,2021-22
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,4,Level 1,Minimal,Jan-15-2022,2,2021-22
Idaho,http://flu.idaho.gov,Influenza,5,Level 8,High,Jan-15-2022,2,2021-22
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,1,Level 4,Low,Jan-15-2022,2,2021-22
Indiana,https://datavizpublic.in.gov/views/Flu_Dashboard/Overview?%253Aembed=y&%253AshowVizHome=no&%253Ahost_url=https%253A%252F%252Fdatavizpublic.in.gov%252F&%253Aembed_code_version=3&%253A%25E2%2580%2599isGuestRedirectFromVizportal%25E2%2580%2599=%25E2%2580%2598yes%25E2%2580%2599%252F&%253Atabs=no&%253Atoolbar=no&%253AshowAppBanner=false&%253Adisplay_spinner=no&%253AloadOrderID=0,Influenza in Indiana,1,Level 6,Moderate,Jan-15-2022,2,2021-22
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,1,Level 6,Moderate,Jan-15-2022,2,2021-22
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,2,Level 5,Low,Jan-15-2022,2,2021-22
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,2,Level 8,High,Jan-15-2022,2,2021-22
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,3,Level 6,Moderate,Jan-15-2022,2,2021-22
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,3,Level 3,Minimal,Jan-15-2022,2,2021-22
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,4,Level 3,Minimal,Jan-15-2022,2,2021-22
Massachusetts,https://www.mass.gov/influenza,Influenza Surveillance Data,3,Level 4,Low,Jan-15-2022,2,2021-22
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,2,Level 2,Minimal,Jan-15-2022,2,2021-22
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,1,Level 1,Minimal,Jan-15-2022,2,2021-22
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,5,Level 11,Very High,Jan-15-2022,2,2021-22
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,6,Level 10,High,Jan-15-2022,2,2021-22
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/influenza/index,Influenza: What You Need to Know,4,Level 4,Low,Jan-15-2022,2,2021-22
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,2,Level 7,Moderate,Jan-15-2022,2,2021-22
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",4,Level 8,High,Jan-15-2022,2,2021-22
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,5,Level 1,Minimal,Jan-15-2022,2,2021-22
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,1,Level 6,Moderate,Jan-15-2022,2,2021-22
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,1,Level 12,Very High,Jan-15-2022,2,2021-22
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",1,Level 5,Low,Jan-15-2022,2,2021-22
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,2,Level 7,Moderate,Jan-15-2022,2,2021-22
North Dakota,http://www.ndflu.com/default.aspx,Influenza,2,Level 10,High,Jan-15-2022,2,2021-22
Ohio,http://www.flu.ohio.gov%20,Influenza Information,3,Level 4,Low,Jan-15-2022,2,2021-22
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,3,Level 4,Low,Jan-15-2022,2,2021-22
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,4,Level 7,Moderate,Jan-15-2022,2,2021-22
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,Influenza Weekly Report ,3,Level 4,Low,Jan-15-2022,2,2021-22
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,2,Level 3,Minimal,Jan-15-2022,2,2021-22
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,1,Level 9,High,Jan-15-2022,2,2021-22
South Dakota,https://doh.sd.gov/diseases/infectious/flu/surveillance.aspx,Influenza Information,5,Level 4,Low,Jan-15-2022,2,2021-22
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,6,Level 8,High,Jan-15-2022,2,2021-22
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,4,Level 10,High,Jan-15-2022,2,2021-22
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,2,Level 7,Moderate,Jan-15-2022,2,2021-22
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,4,Level 2,Minimal,Jan-15-2022,2,2021-22
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,5,Level 10,High,Jan-15-2022,2,2021-22
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,1,Level 5,Low,Jan-15-2022,2,2021-22
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,Current Influenza Surveillance,1,Level 2,Minimal,Jan-15-2022,2,2021-22
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,1,Level 4,Low,Jan-15-2022,2,2021-22
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,2,Level 10,High,Jan-15-2022,2,2021-22
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,2,Level 4,Low,Jan-15-2022,2,2021-22
Commonwealth of the Northern Mariana Islands,,,3,Level 1,Minimal,Jan-15-2022,2,2021-22
Puerto Rico,https://www.salud.gov.pr/CMS/92,Puerto Rico Departamento de Salud,3,Level 6,Moderate,Jan-15-2022,2,2021-22
Virgin Islands,https://doh.vi.gov/resources/influenza-flu,Influenza,4,Level 1,Minimal,Jan-15-2022,2,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,3,Level 6,Moderate,Jan-22-2022,3,2021-22
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,2,Level 1,Minimal,Jan-22-2022,3,2021-22
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,1,Level 6,Moderate,Jan-22-2022,3,2021-22
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,5,Level 6,Moderate,Jan-22-2022,3,2021-22
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),6,Level 4,Low,Jan-22-2022,3,2021-22
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,4,Level 2,Minimal,Jan-22-2022,3,2021-22
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,2,Level 2,Minimal,Jan-22-2022,3,2021-22
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,4,Level 2,Minimal,Jan-22-2022,3,2021-22
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,5,Level 1,Minimal,Jan-22-2022,3,2021-22
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,1,Level 5,Low,Jan-22-2022,3,2021-22
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,1,Level 7,Moderate,Jan-22-2022,3,2021-22
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,1,Level 1,Minimal,Jan-22-2022,3,2021-22
Idaho,http://flu.idaho.gov,Influenza,2,Level 10,High,Jan-22-2022,3,2021-22
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,2,Level 3,Minimal,Jan-22-2022,3,2021-22
Indiana,https://datavizpublic.in.gov/views/Flu_Dashboard/Overview?%253Aembed=y&%253AshowVizHome=no&%253Ahost_url=https%253A%252F%252Fdatavizpublic.in.gov%252F&%253Aembed_code_version=3&%253A%25E2%2580%2599isGuestRedirectFromVizportal%25E2%2580%2599=%25E2%2580%2598yes%25E2%2580%2599%252F&%253Atabs=no&%253Atoolbar=no&%253AshowAppBanner=false&%253Adisplay_spinner=no&%253AloadOrderID=0,Influenza in Indiana,3,Level 4,Low,Jan-22-2022,3,2021-22
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,3,Level 4,Low,Jan-22-2022,3,2021-22
Kansas,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,4,Level 4,Low,Jan-22-2022,3,2021-22
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,3,Level 7,Moderate,Jan-22-2022,3,2021-22
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,2,Level 4,Low,Jan-22-2022,3,2021-22
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,Weekly Surveillance Updates,1,Level 2,Minimal,Jan-22-2022,3,2021-22
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,5,Level 2,Minimal,Jan-22-2022,3,2021-22
Massachusetts,https://www.mass.gov/influenza,Influenza Surveillance Data,6,Level 2,Minimal,Jan-22-2022,3,2021-22
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,Influenza Activity and Surveillance,4,Level 1,Minimal,Jan-22-2022,3,2021-22
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,2,Level 1,Minimal,Jan-22-2022,3,2021-22
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,4,Level 9,High,Jan-22-2022,3,2021-22
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,Influenza Data & Statistical Reports ,5,Level 10,High,Jan-22-2022,3,2021-22
Montana,https://dphhs.mt.gov/publichealth/cdepi/diseases/influenza/index,Influenza: What You Need to Know,1,Level 5,Low,Jan-22-2022,3,2021-22
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,Weekly Flu Report,1,Level 5,Low,Jan-22-2022,3,2021-22
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",1,Level 7,Moderate,Jan-22-2022,3,2021-22
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,Influenza Control and Surveillance,2,Level 1,Minimal,Jan-22-2022,3,2021-22
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,Seasonal Influenza - Surveillance,2,Level 2,Minimal,Jan-22-2022,3,2021-22
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,3,Level 11,Very High,Jan-22-2022,3,2021-22
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",3,Level 3,Minimal,Jan-22-2022,3,2021-22
North Carolina,http://www.flu.nc.gov/%20,North Carolina Influenza Update,4,Level 5,Low,Jan-22-2022,3,2021-22
North Dakota,http://www.ndflu.com/default.aspx,Influenza,3,Level 10,High,Jan-22-2022,3,2021-22
Ohio,http://www.flu.ohio.gov%20,Influenza Information,2,Level 1,Minimal,Jan-22-2022,3,2021-22
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,Influenza Information,1,Level 10,High,Jan-22-2022,3,2021-22
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,5,Level 5,Low,Jan-22-2022,3,2021-22
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,Influenza Weekly Report ,6,Level 3,Minimal,Jan-22-2022,3,2021-22
Rhode Island,http://www.health.ri.gov/data/flu/index.php,Influenza Surveillance,4,Level 3,Minimal,Jan-22-2022,3,2021-22
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,Influenza Activity and Surveillance,2,Level 6,Moderate,Jan-22-2022,3,2021-22
South Dakota,https://doh.sd.gov/diseases/infectious/flu/surveillance.aspx,Influenza Information,4,Level 2,Minimal,Jan-22-2022,3,2021-22
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,Influenza-Like Illness Surveillance Summary Archive,5,Level 6,Moderate,Jan-22-2022,3,2021-22
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,Influenza Surveillance,1,Level 10,High,Jan-22-2022,3,2021-22
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,Seasonal Influenza Weekly Update,1,Level 4,Low,Jan-22-2022,3,2021-22
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,Flu Activity,1,Level 1,Minimal,Jan-22-2022,3,2021-22
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,2,Level 8,High,Jan-22-2022,3,2021-22
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,2,Level 4,Low,Jan-22-2022,3,2021-22
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,Current Influenza Surveillance,3,Level 1,Minimal,Jan-22-2022,3,2021-22
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,Tracking Influenza in Wisconsin,3,Level 2,Minimal,Jan-22-2022,3,2021-22
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,Influenza,4,Level 10,High,Jan-22-2022,3,2021-22
New York City,http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page,Surveillance Data,3,Level 1,Minimal,Jan-22-2022,3,2021-22
Commonwealth of the Northern Mariana Islands,,,2,Level 1,Minimal,Jan-22-2022,3,2021-22
Puerto Rico,https://www.salud.gov.pr/CMS/92,Puerto Rico Departamento de Salud,1,Level 1,Minimal,Jan-22-2022,3,2021-22
Virgin Islands,https://doh.vi.gov/resources/influenza-flu,Influenza,5,Level 0,Insufficient Data,Jan-22-2022,3,2021-22
Alabama,http://adph.org/influenza/,Influenza Surveillance,6,Level 3,Minimal,Jan-29-2022,4,2021-22
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,4,Level 1,Minimal,Jan-29-2022,4,2021-22
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,2,Level 2,Minimal,Jan-29-2022,4,2021-22
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,4,Level 3,Minimal,Jan-29-2022,4,2021-22
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),5,Level 1,Minimal,Jan-29-2022,4,2021-22
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,1,Level 1,Minimal,Jan-29-2022,4,2021-22
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,1,Level 1,Minimal,Jan-29-2022,4,2021-22
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,1,Level 1,Minimal,Jan-29-2022,4,2021-22
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,2,Level 0,Insufficient Data,Jan-29-2022,4,2021-22
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,2,Level 3,Minimal,Jan-29-2022,4,2021-22
